,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
10,"[[0], [3], [], [1, 2], [3, 0, 0, 1], [1, 0, 0, 1], [0, 0, 0]]",9.74875004531825,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.16836149769219155 * (x[1]**0.7499226195247833) * (x[2]),[0.1683615  0.74992262],8.883959140179476,"{'fitness 25': 8.605674013938986, 'fitness 53': 9.300100288680389, 'fitness 74': 8.746103117919054, 'fitness 102': 9.74875004531825}",False
11,"[[0], [3], [1, 0], [2, 1, 1, 0], [3, 0, 0, 3, 0, 3], [1, 1, 1], [0, 0]]",10.51256091634501,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.3964546618018857 * (x[1]**0.6789000386232176) * (x[2]),[0.39645466 0.67890004],11.947907284526197,"{'fitness 25': 12.592497471494996, 'fitness 53': 11.677893081132842, 'fitness 74': 11.573331300950755, 'fitness 102': 10.51256091634501}",False
12,"[[0], [3], [], [1, 2], [3, 0, 0, 1], [1, 0, 0, 1], [0, 0, 0]]",11.636260885089875,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.44171068972864447 * (x[1]**0.6264406868541094) * (x[2]),[0.44171069 0.62644069],11.28722652343928,"{'fitness 25': 11.540576124763449, 'fitness 53': 11.624710899045573, 'fitness 74': 10.696392546508818, 'fitness 102': 11.636260885089875}",False
13,"[[0], [3], [3, 0], [1, 1, 2, 0], [3, 1, 1, 0, 0, 3], [1, 1, 1, 0, 0, 1, 1], [0, 0, 0]]",12.163342155830676,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.8665654086590076 * (x[1]**0.5885405880723571) * (x[2]),[0.86656541 0.58854059],13.372811091417894,"{'fitness 25': 13.924993483982233, 'fitness 53': 13.11171724090484, 'fitness 74': 13.081722549366612, 'fitness 102': 12.163342155830676}",False
14,"[[0], [3], [0, 3], [], [2, 2, 0], [1, 0, 0, 1], [0, 0, 0]]",12.18928746102593,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.23290022217548056 * (x[1]**0.7026409057705159) * (x[2]),[0.23290022 0.70264091],11.561301072810897,"{'fitness 25': 11.563841542543484, 'fitness 53': 11.938850050304199, 'fitness 74': 11.181211625585009, 'fitness 102': 12.18928746102593}",False
15,"[[0], [2], [2], [1], [0], [0, 0], [0, 0]]",12.925564338733237,6,(((x[0]+x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 1, 2, 2]",(((x[0]+x[0])**0.5833993999774572)**0.7611050800354099) * (x[1]**0.5055190154537054) * (x[2]),[0.5833994  0.76110508 0.50551902],13.644940468409056,"{'fitness 25': 14.965117603563757, 'fitness 53': 13.942403828330287, 'fitness 74': 12.027299973333125, 'fitness 102': 12.925564338733237}",False
16,"[[0], [2], [2, 3], [2, 1], [3, 0], [1, 1, 1], [0, 0, 0]]",14.929944192197768,5,((Constant**Constant)**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 1, 0, 1, 0]",((0.8341652504822296**0.2587546882834)**0.007919034372386391) * (x[1]**0.5193977240509146) * (x[2]),[0.83416525 0.25875469 0.00791903 0.51939772],15.251046469141604,"{'fitness 25': 15.99096393861669, 'fitness 53': 15.467588293251856, 'fitness 74': 14.294587175556266, 'fitness 102': 14.929944192197768}",False
17,"[[0], [2], [3, 2], [], [], [0, 1, 1], [0]]",17.225392940861934,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 1]",(x[0]**0.7460177294759066) * (x[1]**0.5364389432187541) * (x[2]),[0.74601773 0.53643894],18.249348120982845,"{'fitness 25': 19.99721711762098, 'fitness 53': 18.544832866776908, 'fitness 74': 16.205994378550646, 'fitness 102': 17.225392940861934}",False
18,"[[0], [2], [3], [], [], [1], []]",18.73512724266719,4,(Constant**Constant) * (x[1]**Constant) * (x[2]),"[1, 1, 1, 0, 0, 1, 0]",(0.9460361366890488**0.3944944019153316) * (x[1]**0.5109590767934076) * (x[2]),[0.94603614 0.3944944  0.51095908],19.301427612619165,"{'fitness 25': 20.198030618562807, 'fitness 53': 19.471388526234993, 'fitness 74': 18.234863693059687, 'fitness 102': 18.73512724266719}",False
19,"[[0], [1], [3, 2], [2], [3, 1, 0, 2, 2, 0], [0, 0, 1, 0, 1, 0, 0], [0, 0]]",18.845762895712483,6,(x[0]/(x[0]**Constant)) * (x[1]**Constant) * (x[2]),"[1, 1, 2, 1, 1, 2, 2]",(x[0]/(x[0]**0.28749008773834317)) * (x[1]**0.5230614716964255) * (x[2]),[0.28749009 0.52306147],19.950697588757404,"{'fitness 25': 21.855753105461314, 'fitness 53': 20.24640464774041, 'fitness 74': 17.749935013070477, 'fitness 102': 18.845762895712483}",False
20,"[[0], [3], [1, 0], [2, 1], [], [1], [0]]",22.851238612541042,3,Constant * (x[1]**Constant) * (x[2]),"[1, 1, 0, 0, 0, 1, 0]",0.08529339568355909 * (x[1]**0.8792700310387698) * (x[2]),[0.0852934  0.87927003],26.366915569246846,"{'fitness 25': 28.267277181790575, 'fitness 53': 25.754870820115446, 'fitness 74': 25.078598705834523, 'fitness 102': 22.851238612541042}",False
