,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,opt_const,fitness val,other_info,optimized
58,"[[0], [1], [3, 3], [1, 0], [0, 0, 2, 1], [1, 1, 0, 0, 0], [0, 0, 0]]",59.900835999053236,"[1, 1, 2, 0, 1, 2, 0]",4,(Constant+Constant) * (x[1]**Constant) * (x[2]),(0.19390614555394992+0.8742737818676019) * (x[1]**0.1788506075531472) * (x[2]),[0.19390615 0.87427378 0.17885061],59.22500950089982,"{'fitness 25': 62.41682859859176, 'fitness 53': 59.900835999053236, 'fitness 74': 57.89353045274913, 'fitness 102': 57.36466945135857}",False
59,"[[0], [2], [2], [1], [0, 2], [1, 0], [0]]",60.28689069632786,"[1, 1, 1, 1, 1, 2, 1]",6,(((Constant+x[0])**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.3165093370259302+x[0])**0.5872315592317977)**0.9293759995006987) * (x[1]**0.15474299419300308) * (x[2]),[0.31650934 0.58723156 0.929376   0.15474299],59.6010516453087,"{'fitness 25': 62.834424176031106, 'fitness 53': 60.28689069632786, 'fitness 74': 58.24235906232803, 'fitness 102': 57.72637169756698}",False
60,"[[0], [3], [3, 3], [], [0, 0, 2, 1], [1], [0, 0, 0]]",60.60281904768803,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5398299219992311 * (x[1]**0.23003565516339286) * (x[2]),[0.53982992 0.23003566],59.92678110186004,"{'fitness 25': 63.123162849475044, 'fitness 53': 60.60281904768803, 'fitness 74': 58.59390290239831, 'fitness 102': 58.06327755370676}",False
61,"[[0], [3], [], [2, 1, 0, 0], [2, 0, 0, 0, 3, 3], [1, 0, 0, 0, 0, 0, 1], [0]]",60.789709095233476,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.982568745006337 * (x[1]**0.14729307071742404) * (x[2]),[0.98256875 0.14729307],60.11062867424338,"{'fitness 25': 63.32757045346316, 'fitness 53': 60.789709095233476, 'fitness 74': 58.77221650439281, 'fitness 102': 58.23209906487419}",False
62,"[[0], [3], [0, 1], [2, 1], [2, 2], [1, 1, 0], [0, 0]]",61.048170229407496,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5772616699454629 * (x[1]**0.1965310659875077) * (x[2]),[0.57726167 0.19653107],60.36981075556014,"{'fitness 25': 63.58326671647112, 'fitness 53': 61.048170229407496, 'fitness 74': 59.032272344404056, 'fitness 102': 58.49389320580522}",False
63,"[[0], [3], [0], [], [], [1, 0, 0, 0, 0, 0, 1], [0]]",61.08745471467148,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.8058670501790505 * (x[1]**0.15347667299451173) * (x[2]),[0.80586705 0.15347667],60.40788513501894,"{'fitness 25': 63.62934875128899, 'fitness 53': 61.08745471467148, 'fitness 74': 59.068193183992825, 'fitness 102': 58.52611346977499}",False
64,"[[0], [3], [], [2, 2], [2, 2], [1, 1, 0], [0, 0, 0, 0]]",61.12126846033582,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5549242078079727 * (x[1]**0.1965967475568534) * (x[2]),[0.55492421 0.19659675],60.442702726227914,"{'fitness 25': 63.65782420788046, 'fitness 53': 61.12126846033582, 'fitness 74': 59.104701380888244, 'fitness 102': 58.565582589915024}",False
65,"[[0], [3], [0], [2, 1, 0, 0], [0, 0, 3, 3, 0, 2], [1, 0, 0], [0]]",61.335278608713004,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.858132424984171 * (x[1]**0.12858608651518977) * (x[2]),[0.85813242 0.12858609],60.654587828116036,"{'fitness 25': 63.88441348403043, 'fitness 53': 61.335278608713004, 'fitness 74': 59.31259132584486, 'fitness 102': 58.76675867447282}",False
66,"[[0], [2], [0, 3], [2, 0], [3, 0, 0, 0, 3, 3], [1, 1, 1, 1], [0, 0, 0, 0]]",61.442876463591716,"[1, 1, 1, 2, 2, 3, 0]",5,(Constant/Constant+Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5881746765311724/0.7796822081088712+0.9629557175726418**0.9059809118713713) * (x[1]**0.035385874090589464) * (x[2]),[0.58817468 0.77968221 0.96295572 0.90598091 0.03538587],60.75996127700358,"{'fitness 25': 64.00453312893724, 'fitness 53': 61.442876463591716, 'fitness 74': 59.41392585297832, 'fitness 102': 58.8614248490952}",False
67,"[[0], [3], [], [], [0], [1, 1, 1, 1, 1], [0]]",61.49487923970574,"[1, 1, 0, 0, 0, 1, 0]",3,Constant * (x[1]**Constant) * (x[2]),0.5855991534538554 * (x[1]**0.16252169653477688) * (x[2]),[0.58559915 0.1625217 ],60.814570375095606,"{'fitness 25': 64.04265910680064, 'fitness 53': 61.49487923970574, 'fitness 74': 59.47300911942172, 'fitness 102': 58.928042899064465}",False
